scenario,backend,trial,role,thread_id,capacity,num_consumers,ratio,ok_ops,fail_ops,window_ns,throughput_ops_s,fail_rate_pct,lat_p50_ns,lat_p99_ns,lat_max_ns,fail_lat_p50_ns,fail_lat_p99_ns,payload_bytes
cmp_fanout_4consumers,spmc,0,producer,0,8,2,max,13833395,4454240,1000460292,13827030.528463991,24.356566609077664,83.33333333333333,209,69292,83,125,8
cmp_fanout_4consumers,spmc,0,consumer,0,8,2,max,13833392,7402462,1000453250,13827124.855659172,34.85832027287435,97.33333333333333,250,100333,83,125,8
cmp_fanout_4consumers,spmc,0,consumer,1,8,2,max,13833392,7283284,1000460291,13827027.543664899,34.49067457397177,97.33333333333333,250,84917,83,125,8
cmp_fanout_4consumers,spmc,1,producer,0,8,2,max,14248926,3883879,1004994166,14178118.124518545,21.419074434429753,83.2,209,135917,42,125,8
cmp_fanout_4consumers,spmc,1,consumer,0,8,2,max,14248928,10662115,1004991541,14178157.147294834,42.800757077895135,104,250,172166,83,125,8
cmp_fanout_4consumers,spmc,1,consumer,1,8,2,max,14248929,10592704,1004987750,14178211.624967568,42.6409326633237,104,250,298541,83,125,8
cmp_fanout_4consumers,spmc,2,producer,0,8,2,max,14219046,3876166,1004998917,14148319.72401021,21.42094825968328,83.25,209,445542,42,125,8
cmp_fanout_4consumers,spmc,2,consumer,0,8,2,max,14219046,10569909,1005004083,14148246.997718913,42.63959089844651,104,250,291500,83,125,8
cmp_fanout_4consumers,spmc,2,consumer,1,8,2,max,14219047,10585782,1005005500,14148228.044523139,42.67629500691176,104.5,250,445583,83,125,8
cmp_fanout_4consumers,spmc,3,producer,0,8,2,max,14089737,4377291,1005003459,14019590.553468931,23.703278080262834,83.28571428571429,209,334166,42,125,8
cmp_fanout_4consumers,spmc,3,consumer,0,8,2,max,14089741,10016469,1004997083,14019683.478026573,41.55140521882121,104,250,332542,83,125,8
cmp_fanout_4consumers,spmc,3,consumer,1,8,2,max,14089741,8261427,1004996250,14019695.098364795,36.96194758144183,104,250,605375,83,125,8
cmp_fanout_4consumers,spmc,4,producer,0,8,2,max,14067802,3820636,1005007709,13997705.563868465,21.358130877609323,83.25,209,136494.75,42,125,8
cmp_fanout_4consumers,spmc,4,consumer,0,8,2,max,14067801,10603459,1005011500,13997651.768163847,42.97899256057453,104,250,318875,83,125,8
cmp_fanout_4consumers,spmc,4,consumer,1,8,2,max,14067801,10512965,1005008334,13997695.863883255,42.769069930530236,104.5,250,308625,83,125,8
cmp_fanout_4consumers,sync,0,producer,0,8,2,max,161546,8579,1003800958,160934.29550203716,5.042762674504042,6131.75390625,8648.35546875,13722.222222222223,292,1458,8
cmp_fanout_4consumers,sync,0,consumer,0,8,2,max,161546,4991840,1003772958,160938.7847246628,96.8652454910228,5458,26500,807292,167,959,8
cmp_fanout_4consumers,sync,0,consumer,1,8,2,max,161546,5921565,1003767292,160939.69318139527,97.34435225660029,5458,26500,375875,166,292,8
cmp_fanout_4consumers,sync,1,producer,0,8,2,max,156772,17728,1005000750,155991.9233891119,10.159312320916905,6336.743362831859,7825.62962962963,8887.79460580913,250,1083,8
cmp_fanout_4consumers,sync,1,consumer,0,8,2,max,156772,3880195,1005001250,155991.84578128633,96.11658950890607,5750,25708,1036250,209,1000,8
cmp_fanout_4consumers,sync,1,consumer,1,8,2,max,156772,5742511,1004995416,155992.751314201,97.34252450679176,5708,25708,438250,167,292,8
cmp_fanout_4consumers,sync,2,producer,0,8,2,max,156763,10448,1004971667,155987.48218242056,6.248392749280849,6413.818359375,7623.861328125,12318.8202247191,250,1291,8
cmp_fanout_4consumers,sync,2,consumer,0,8,2,max,156763,4995510,1004964584,155988.58158368693,96.9574011315006,5542,26417,697208,167,1000,8
cmp_fanout_4consumers,sync,2,consumer,1,8,2,max,156763,5855522,1004964833,155988.5429344173,97.39262193991136,5541,26416,544375,166,292,8
cmp_fanout_4consumers,sync,3,producer,0,8,2,max,191105,13604,1004988000,190156.49938108714,6.645530973235178,5157.794921875,6513.871794871795,7209.228515625,292,1500,8
cmp_fanout_4consumers,sync,3,consumer,0,8,2,max,191105,3686209,1004980833,190157.85547822484,95.07120135227635,5584,20333,504167,209,1042,8
cmp_fanout_4consumers,sync,3,consumer,1,8,2,max,191105,4509752,1004979750,190158.06039872943,95.93467744285776,5583,20334,575500,208,375,8
cmp_fanout_4consumers,sync,4,producer,0,8,2,max,155747,7139,1002033667,155430.90529711713,4.382819886300848,6196.615234375,9024.33203125,9742.537313432837,291,1000,8
cmp_fanout_4consumers,sync,4,consumer,0,8,2,max,155747,2889294,1002028833,155431.65512883,94.88522486232533,5291,33708,426166,291,1084,8
cmp_fanout_4consumers,sync,4,consumer,1,8,2,max,155747,5119290,1002035042,155430.69201366312,97.04747094664928,5333,33750,319000,208,292,8
cmp_uneven_consumer_speeds,spmc,0,producer,0,64,2,balanced,2000695,2003196,1000973083,1998750.0503047993,50.03123211895628,500,584,26333,84,333,8
cmp_uneven_consumer_speeds,spmc,0,consumer,0,64,2,balanced,2000650,1290,1000970750,1998709.7525077532,0.06443749562923963,499.91796875,500.08203125,3583,500,542,8
cmp_uneven_consumer_speeds,spmc,0,consumer,1,64,2,balanced,2000651,1289,1000970583,1998711.0849989883,0.06438754408224022,499.91796875,500,992.1875,500,541,8
cmp_uneven_consumer_speeds,spmc,1,producer,0,64,2,balanced,2007761,2012214,1004994334,1997783.4024286151,50.055385916579084,542,708,44167,208,334,8
cmp_uneven_consumer_speeds,spmc,1,consumer,0,64,2,balanced,2007718,2261,1004990083,1997749.0663457622,0.11248873744452058,499.91796875,502.1593625498008,13958,500,542,8
cmp_uneven_consumer_speeds,spmc,1,consumer,1,64,2,balanced,2007717,2275,1004996584,1997735.148520664,0.11318453008768194,499.919921875,501.953125,1258.7890625,500,542,8
cmp_uneven_consumer_speeds,spmc,2,producer,0,64,2,balanced,2007173,2012812,1004996667,1997193.688205535,50.07013707762591,520.5,791,27792,250,250,8
cmp_uneven_consumer_speeds,spmc,2,consumer,0,64,2,balanced,2007129,2866,1004998125,1997147.0096026298,0.14258741937168998,499.919921875,501.4367816091954,1119.140625,500,542,8
cmp_uneven_consumer_speeds,spmc,2,consumer,1,64,2,balanced,2007130,2852,1004991584,1997161.0030915444,0.14189181793667804,499.919921875,501.25753424657535,1106.4453125,500,542,8
cmp_uneven_consumer_speeds,spmc,3,producer,0,64,2,balanced,2008756,2011187,1004986042,1998789.9493632966,50.030236747137955,521,792,6125,250,292,8
cmp_uneven_consumer_speeds,spmc,3,consumer,0,64,2,balanced,2008713,1266,1004990125,1998739.0423363612,0.06298573268675942,499.91796875,500,1050.78125,500,583,8
cmp_uneven_consumer_speeds,spmc,3,consumer,1,64,2,balanced,2008712,1271,1004992125,1998734.0696823867,0.0632343656637892,499.91796875,500,1050.78125,500,542,8
cmp_uneven_consumer_speeds,spmc,4,producer,0,64,2,balanced,2000728,2002162,1000723000,1999282.5187389518,50.0179120585377,542,750,37333,250,334,8
cmp_uneven_consumer_speeds,spmc,4,consumer,0,64,2,balanced,2000684,766,1000725584,1999233.3882412263,0.03827225261685278,499.919921875,500.244140625,22541,500,583,8
cmp_uneven_consumer_speeds,spmc,4,consumer,1,64,2,balanced,2000683,774,1000729084,1999225.3967508352,0.03867182757361262,499.919921875,500.244140625,12000,500,542,8
cmp_uneven_consumer_speeds,sync,0,producer,0,64,2,balanced,2007877,2012126,1005003042,1997881.5148700813,50.052848219267496,500,875,39709,250,459,8
cmp_uneven_consumer_speeds,sync,0,consumer,0,64,2,balanced,2007814,2193,1005004083,1997816.7591185796,0.10910409764742113,499.91796875,688.640625,16542,500,625,8
cmp_uneven_consumer_speeds,sync,0,consumer,1,64,2,balanced,2007814,2182,1004998625,1997827.6089681217,0.10855742996503474,499.91796875,625,9000,500,625,8
cmp_uneven_consumer_speeds,sync,1,producer,0,64,2,balanced,2005815,2009202,1003760125,1998301.137933727,50.04217914893013,541,834,31417,292,416,8
cmp_uneven_consumer_speeds,sync,1,consumer,0,64,2,balanced,2005752,1779,1003766083,1998226.513098869,0.08861631526487013,499.91796875,875,258083,500,625,8
cmp_uneven_consumer_speeds,sync,1,consumer,1,64,2,balanced,2005752,1777,1003765042,1998228.5854501794,0.08851677858700921,499.91796875,771,257542,500,625,8
cmp_uneven_consumer_speeds,sync,2,producer,0,64,2,balanced,1950689,323988,1004351625,1942237.1124256407,14.243252998117976,505.85714285714283,708,25417,125,334,8
cmp_uneven_consumer_speeds,sync,2,consumer,0,64,2,balanced,1950626,58062,1004344541,1942188.0842383152,2.8905434791266735,750,2111.3333333333335,93042,375,1417,8
cmp_uneven_consumer_speeds,sync,2,consumer,1,64,2,balanced,1950627,58075,1004351583,1942175.4622753456,2.8911705170801842,729.5,1666,93270.5,458,708,8
cmp_uneven_consumer_speeds,sync,3,producer,0,64,2,balanced,1767131,566641,1004988250,1758359.8614212654,24.280049636382646,510.25,917,35083,125,375,8
cmp_uneven_consumer_speeds,sync,3,consumer,0,64,2,balanced,1767131,242815,1004973584,1758385.5219024343,12.080672814095502,1791,15542,599125,458,1834,8
