scenario,backend,role,capacity,num_consumers,ratio,payload_bytes,trials,tput_mean,tput_median,tput_min,tput_max,fail_rate_mean,lat_p50_mean,lat_p50_median,lat_p99_mean,lat_p99_median,fail_lat_p50_mean,fail_lat_p50_median,fail_lat_p99_mean,fail_lat_p99_median
cmp_fanout_4consumers,spmc,producer,8,2,max,8,5,14034152.898866028,14019590.553468931,13827030.528463991,14178118.124518545,0.22451599652212573,83.26380952380953,83.25,209,209,50.2,42,125,125
cmp_fanout_4consumers,spmc,consumer,8,2,max,8,5,28068344.4844534,28039378.57639137,27654152.39932407,28356368.772262402,0.40454301882450305,102.76666666666665,104,250,250,83,83,125,125
cmp_fanout_4consumers,sync,producer,8,2,max,8,5,163700.22115035477,155991.9233891119,155430.90529711713,190156.49938108714,0.06495763720847565,6047.345156941372,6196.615234375,7927.210050525285,7825.62962962963,275,291,1266.4,1291
cmp_fanout_4consumers,sync,consumer,8,2,max,8,5,327403.6925078194,311984.59709548735,310862.3471424931,380315.91587695427,0.965922684839828,5524.8,5541.5,26537.4,26416.5,195.8,188,662.8,646
cmp_uneven_consumer_speeds,spmc,producer,64,2,balanced,8,5,1998359.9218082395,1998750.0503047993,1997193.688205535,1999282.5187389518,0.5004098078376737,525.1,521,725,750,208.4,250,308.6,333
cmp_uneven_consumer_speeds,spmc,consumer,64,2,balanced,8,5,3996628.9924156303,3997420.8375067413,3994308.0126941744,3998458.7849920616,0.0008421417285387733,499.9189453125,499.9189453125,500.7377115905571,500.244140625,500,500,550.1,542
cmp_uneven_consumer_speeds,sync,producer,64,2,balanced,8,5,1920593.4819020208,1942237.1124256407,1758359.8614212654,1998301.137933727,0.2840131669982994,511.6484555984556,505.85714285714283,783.4666666666667,834,191.6,166,400.2,416
cmp_uneven_consumer_speeds,sync,consumer,64,2,balanced,8,5,3841107.0929940008,3884363.546513661,3516769.222386414,3996455.0985490484,0.039720247367578634,860.3171875,739.75,4688.9640625,1888.6666666666667,458.3,458.5,1029.3,1062.5
cmp_tiny_capacity_high_contention,spmc,producer,4,2,max,8,5,8649938.059053645,8705484.028912855,8389838.185566263,8733285.298370825,0.4554952559261318,166,166,209,209,42,42,100.4,84
cmp_tiny_capacity_high_contention,spmc,consumer,4,2,max,8,5,17299931.08172952,17411023.34087134,16779607.32209935,17466661.484388687,0.5840060038351836,166,166,219.275,209,83,83,125,125
cmp_tiny_capacity_high_contention,sync,producer,4,2,max,8,5,267992.1550494505,252545.86600693653,219031.96803184377,366655.0400944005,0.049862165961171864,3851.4085728871114,3970.1646090534978,5449.84291077215,5272.862745098039,325,333,5758.4,5750
cmp_tiny_capacity_high_contention,sync,consumer,4,2,max,8,5,535988.2258492077,505091.50163043966,438082.01652167394,733306.9331440246,0.9264963335085163,3549.9,3333.5,13062.4,12625,250,250,721.1,729.5
cmp_slowest_consumer_gates,spmc,producer,4,2,max,8,5,8742544.692059692,8728275.622956004,8661076.65711079,8827166.940774433,0.45150566160592664,166,166,209,209,42,42,116.8,125
cmp_slowest_consumer_gates,spmc,consumer,4,2,max,8,5,17485068.14399909,17456661.788411506,17322067.027209207,17654290.679856896,0.5811869844308545,166,166,209,209,83,83,125,125
cmp_slowest_consumer_gates,sync,producer,4,2,max,8,5,178356.45173450693,178900.34905184965,176843.07866838164,179927.41231799225,0.11894388373669229,5516.553129765127,5519.466666666666,7433.832527154664,7455.75,258.6,292,3966.8,5417
cmp_slowest_consumer_gates,sync,consumer,4,2,max,8,5,356712.7349756243,357797.67840984813,353688.55613239465,359854.14546651754,0.9670243731467387,5516.7,5500,21291.7,21250,166.7,166.5,625.2,625
cmp_wrap_around_sustained,spmc,producer,1024,2,balanced,8,5,2000981.0726754821,2000992.9243563348,2000924.673351757,2001002.7768034346,0.49975004839655346,525.1,521,700.2,750,216.8,209,308.2,292
cmp_wrap_around_sustained,spmc,consumer,1024,2,balanced,8,5,3999997.5058318316,3999997.587173492,3999997.1687192656,3999997.6776069817,0,499.919140625,499.9189453125,500.008203125,500,,,,
cmp_wrap_around_sustained,sync,producer,1024,2,balanced,8,5,1997243.4965144228,2000909.184869124,1987479.695320993,2001002.721227703,0.3357409488445851,514.6,513.8333333333334,733.2,708,150,125,316.6,333
cmp_wrap_around_sustained,sync,consumer,1024,2,balanced,8,5,3992522.5960876085,3999920.979763433,3972995.9921605415,3999997.761222057,0.0018687757462246793,499.91796875,499.91796875,2439.145065104167,500.2841796875,,500,,2104
cmp_blocking_push_unblocks,spmc,producer,8,2,max,8,5,14122338.251428723,14156696.815200375,14021058.751024777,14188929.599600792,0.2109497506468747,83.24,83.25,209,209,42,42,125,125
cmp_blocking_push_unblocks,spmc,consumer,8,2,max,8,5,28244713.71532076,28313476.267593987,28042130.89780262,28377741.134571444,0.42623280402950703,104.9,104.25,250,250,83,83,125,125
cmp_blocking_push_unblocks,sync,producer,8,2,max,8,5,87422.18272729163,86315.40481366144,85246.96954232165,91265.32432426048,0.1629438516054879,10976.206075179687,11018.158415841584,14955.639373880904,14959.472222222223,291.8,292,1758.6,1500
cmp_blocking_push_unblocks,sync,consumer,8,2,max,8,5,174844.79178360445,172630.31217334117,170495.19726353162,182531.32627030346,0.9764778529475034,7700,7750,54299.8,54666.5,270.5,270.5,1037.4,1041.5
cmp_n_1,spmc,producer,1024,1,balanced,8,5,1999998.7890859533,1999998.7562413365,1999998.7553131017,1999998.8398259105,0,499.918359375,499.91796875,500,500,,,,
cmp_n_1,spmc,consumer,1024,1,balanced,8,5,1999950.8776416345,1999935.1584078672,1999906.2199902413,1999993.9483492766,0.000023980815380081475,499.918359375,499.91796875,500,500,500,500,550.2,542
cmp_n_1,sync,producer,1024,1,balanced,8,5,1999998.5880250453,1999998.7508839057,1999998.2528711879,1999998.7562413365,0,499.918359375,499.91796875,500.1625,500.162109375,,,,
cmp_n_1,sync,consumer,1024,1,balanced,8,5,1999916.6875388443,1999924.2140350116,1999867.0514427614,1999950.0814968718,0.00004106647995627203,499.91796875,499.91796875,504.525390625,500.1640625,350,500,575.2,542
cmp_n_2,spmc,producer,1024,2,balanced,8,5,2000994.4805461604,2000991.1977037792,2000983.989125123,2001008.7869551342,0.4997511930546967,533.2,541,617,584,167,208,350,334
cmp_n_2,spmc,consumer,1024,2,balanced,8,5,3999997.6611603335,3999997.672871616,3999997.5940634557,3999997.7631842606,0,499.91875,499.9189453125,500,500,,,,
cmp_n_2,sync,producer,1024,2,balanced,8,5,1999646.6134328055,2000889.8860531743,1994594.0379193465,2001002.7307061092,0.27782915888026916,515.29,520.5,795.9,750,141.6,125,441.8,334
cmp_n_2,sync,consumer,1024,2,balanced,8,5,3997289.0254388517,3999773.8826876692,3987133.096869572,3999997.6776294652,0.0006771595619373771,499.934375,499.91796875,1565.450390625,529.09375,,,,
cmp_n_4,spmc,producer,1024,4,balanced,8,5,1979653.7867821895,1978801.129204146,1968080.9833262945,1987835.6497887988,0.7525137007443727,541,541,725.4,709,108.6,125,250,250
cmp_n_4,spmc,consumer,1024,4,balanced,8,5,7916649.747169095,7912199.275578884,7875818.39522091,7948262.900982545,0.010417828519512364,499.91396484375,499.91796875,587.7143333928174,592.763859828475,500,500,541.65,541.75
cmp_n_4,sync,producer,1024,4,balanced,8,5,29169.274949812167,27984.175889831073,25269.288841464535,36635.14027670138,0,34071.6796875,33969.40234375,54805.208203125,57027.1796875,,,,
cmp_n_4,sync,consumer,1024,4,balanced,8,5,116677.50181185365,111937.3080238498,101077.45090725968,146541.46486088267,0.9852636163623792,24110.35,23583.25,128833.3,130426.75,416.6,416.5,1845.9,1864.25
cmp_n_8,spmc,producer,1024,8,balanced,8,5,424893.9009778306,416596.74337562924,391235.97939784237,455720.9165422674,0.9610089692068998,272.30000000000007,236.16666666666666,1016019.4833333334,871375,83,83,274.8,291
cmp_n_8,spmc,consumer,1024,8,balanced,8,5,3401724.0900746225,3337026.6029432686,3133821.2032791767,3646093.0442975312,0.7873037436869866,333.9849772135417,328.229736328125,16194.597690030083,16270.67478660301,500,500,541.625,541.625
