scenario,backend,trial,role,thread_id,capacity,num_consumers,ratio,ok_ops,fail_ops,window_ns,throughput_ops_s,fail_rate_pct,lat_p50_ns,lat_p99_ns,lat_max_ns,fail_lat_p50_ns,fail_lat_p99_ns,payload_bytes
rate_max,spmc,0,producer,0,1024,4,max,7932414,191728,1003631375,7903712.655455794,2.3599784444929695,125.244140625,189.37109375,529291,42,84,8
rate_max,spmc,0,consumer,0,1024,4,max,7932222,4717780,1003638375,7903466.226069723,37.294697660917365,194.33333333333334,417,603125,83,125,8
rate_max,spmc,0,consumer,1,1024,4,max,7932392,3913445,1003655333,7903502.0680749975,33.036458293322795,187.5,417,495209,83,125,8
rate_max,spmc,0,consumer,2,1024,4,max,7932418,4272189,1003637750,7903666.4374172855,35.0047240357678,194.33333333333334,416,603166,83,125,8
rate_max,spmc,0,consumer,3,1024,4,max,7932418,10036879,1003637125,7903671.35930728,55.85571322016661,208,334,603291,83,125,8
rate_max,spmc,1,producer,0,1024,4,max,7816465,177971,1004994458,7777620.003552298,2.2261858122324076,126.7890625,192.30078125,61125,42,83,8
rate_max,spmc,1,consumer,0,1024,4,max,7816467,5678819,1004993542,7777629.082516035,42.08001964537839,208,375,493833,83,125,8
rate_max,spmc,1,consumer,1,1024,4,max,7816467,5745040,1004986833,7777681.003707239,42.362843598428995,208,375,562542,83,125,8
rate_max,spmc,1,consumer,2,1024,4,max,7816467,5843712,1004994792,7777619.408797892,42.779175880491756,208,375,562250,83,125,8
rate_max,spmc,1,consumer,3,1024,4,max,7816467,5684925,1004994583,7777621.02624189,42.10621393705182,208,375,615667,83,125,8
rate_max,spmc,2,producer,0,1024,4,max,7983155,160406,1002905125,7960030.117504884,1.9697279850915344,125.080078125,183.267578125,116666,42,84,8
rate_max,spmc,2,consumer,0,1024,4,max,7983138,7202354,1002904292,7960019.778238221,47.429177796807636,208,334,734958,83,125,8
rate_max,spmc,2,consumer,1,1024,4,max,7983121,3682747,1002898666,7960047.481008415,31.56856395083503,187.5,416,748167,83,125,8
rate_max,spmc,2,consumer,2,1024,4,max,7983121,4421819,1002906042,7959988.937827139,35.64562988615826,208,416,748000,83,125,8
rate_max,spmc,2,consumer,3,1024,4,max,7983144,4854295,1002899083,7960067.10477768,37.81357792625149,208,416,748125,83,125,8
rate_max,spmc,3,producer,0,1024,4,max,7834386,290277,1000886083,7827450.229418366,3.5727881882608545,126.220703125,184.490234375,531792,42,84,8
rate_max,spmc,3,consumer,0,1024,4,max,7834396,7078368,1000886083,7827460.2205653805,47.465164740754965,208,334,644291,83,125,8
rate_max,spmc,3,consumer,1,1024,4,max,7834388,3718456,1000886042,7827452.548289209,32.18649883959309,187.5,416,722125,83,125,8
rate_max,spmc,3,consumer,2,1024,4,max,7834389,4497338,1000894459,7827387.722605026,36.469652628541,208,416,718083,83,125,8
rate_max,spmc,3,consumer,3,1024,4,max,7834396,4978345,1000894958,7827390.81397191,38.854644763364846,208,416,689333,83,125,8
rate_max,spmc,4,producer,0,1024,4,max,7753867,274398,1002759750,7732527.158175226,3.417899135118235,127.603515625,192.138671875,734583,42,84,8
rate_max,spmc,4,consumer,0,1024,4,max,7753873,9521995,1002767042,7732476.911621513,55.117317404833145,208,375,1051375,83,125,8
rate_max,spmc,4,consumer,1,1024,4,max,7753874,4255027,1002754625,7732573.659283795,35.432276442282266,198,417,1051500,83,125,8
rate_max,spmc,4,consumer,2,1024,4,max,7753873,4251724,1002772209,7732437.068367139,35.414515413102734,208,417,734583,83,125,8
rate_max,spmc,4,consumer,3,1024,4,max,7753874,4789365,1002759208,7732538.318411533,38.18284097113991,208,417,1051375,83,125,8
rate_max,sync,0,producer,0,1024,4,max,11288,0,1004675625,11235.467168818792,0,86335.53125,143118.814453125,143118.814453125,,,8
rate_max,sync,0,consumer,0,1024,4,max,11288,1126614,1004661833,11235.621409338439,99.00799893136667,63958,453833,5105458,709,3375,8
rate_max,sync,0,consumer,1,1024,4,max,11288,1021172,1004664167,11235.595307143069,98.90668887898805,63584,454083,5099500,833,3625,8
rate_max,sync,0,consumer,2,1024,4,max,11288,1090346,1004667292,11235.560359020825,98.9753402672757,63958,452000,5094250,750,3417,8
rate_max,sync,0,consumer,3,1024,4,max,11288,1526053,1004668375,11235.54824745031,99.26574520552045,64084,455333,5100041,500,3041,8
rate_max,sync,1,producer,0,1024,4,max,9702,0,1001620167,9686.306565750288,0,103029.62109375,124750.40625,124750.40625,,,8
rate_max,sync,1,consumer,0,1024,4,max,9702,1535582,1001568209,9686.809058852627,99.37215424478607,71084,607750,1181083,500,2625,8
rate_max,sync,1,consumer,1,1024,4,max,9702,1243086,1001592083,9686.578163577597,99.22556729470588,70792,603625,1180541,667,3084,8
rate_max,sync,1,consumer,2,1024,4,max,9702,1370220,1001570292,9686.78891286444,99.29691678225291,70959,600958,1182083,583,3083,8
rate_max,sync,1,consumer,3,1024,4,max,9702,1167579,1001578250,9686.711946869853,99.17589768288114,70875,603834,1180667,750,2916,8
rate_max,sync,2,producer,0,1024,4,max,10052,0,1003585334,10016.088975648581,0,101187.826171875,108939.53515625,108939.53515625,,,8
rate_max,sync,2,consumer,0,1024,4,max,10052,1370795,1003582292,10016.119335832203,99.2720410009219,77542,506792,1581958,667,2583,8
rate_max,sync,2,consumer,1,1024,4,max,10052,1198688,1003577750,10016.164666863131,99.16839022453134,77791,518750,1580250,750,2792,8
rate_max,sync,2,consumer,2,1024,4,max,10052,1303697,1003579375,10016.148448646625,99.23486145374801,77666,505500,1578583,708,2667,8
rate_max,sync,2,consumer,3,1024,4,max,10052,2513211,1003566667,10016.275281490593,99.60162694098871,78000,524292,1579041,292,1833,8
rate_max,sync,3,producer,0,1024,4,max,12611,0,1002869083,12574.921506479426,0,79306.396484375,85143.9609375,85143.9609375,,,8
rate_max,sync,3,consumer,0,1024,4,max,12611,1262084,1002867625,12574.939788289606,99.01066529640424,59958,403375,1554375,667,2708,8
