scenario,backend,role,capacity,num_consumers,ratio,payload_bytes,trials,tput_mean,tput_median,tput_min,tput_max,fail_rate_mean,lat_p50_mean,lat_p50_median,lat_p99_mean,lat_p99_median,fail_lat_p50_mean,fail_lat_p50_median,fail_lat_p99_mean,fail_lat_p99_median
rate_max,spmc,producer,1024,4,max,8,5,7840268.032821314,7827450.229418366,7732527.158175226,7960030.117504884,0.027093159130391998,126.1875,126.220703125,188.313671875,189.37109375,42,42,83.8,84
rate_max,spmc,consumer,1024,4,max,8,5,31360939.435419858,31309691.305431526,30930025.95768398,31840123.301851455,0.4093266581178957,203.05833333333334,202.875,393.7,395.5,83,83,125,125
rate_max,sync,producer,1024,4,max,8,5,10229.759961793046,10016.088975648581,7636.015592268143,12574.921506479426,0,99507.2265625,101187.826171875,122459.781640625,124750.40625,,,,
rate_max,sync,consumer,1024,4,max,8,5,40919.578328730815,40064.707732832554,30544.152306140462,50299.818199563895,0.9927830357097334,71289.7,70927.5,552704.25,513833.5,606.3,604.25,2974.95,2927
rate_balanced,spmc,producer,1024,4,balanced,8,5,1997492.8310485822,1999729.1833975946,1989011.6776289844,2000225.035355937,0.7497766556999574,541,541,733.4,750,83.6,84,241.8,209
rate_balanced,spmc,consumer,1024,4,balanced,8,5,7986140.947986652,7995057.642534664,7952139.881294909,7996876.131639631,0.0017317749643227145,499.91796875,499.91796875,510.2783203125,508.3212890625,500,500,543.95,542
rate_balanced,sync,producer,1024,4,balanced,8,5,13104.521334985166,13209.488844869846,12651.353956699564,13591.304682320862,0,76466.06484375,76211.751953125,98631.82653565293,87517.7421875,,,,
rate_balanced,sync,consumer,1024,4,balanced,8,5,52418.13204671105,52838.1386454095,50605.41902407987,54365.73362069943,0.9894900446189858,53714.8,53469,459097.9,472323,658.3,656.25,3360.5,3354.5
rate_prod_2x,spmc,producer,1024,4,prod_2x,8,5,1987939.6289705164,1996209.6818250772,1968529.19847745,2000206.4874688021,0.7755878154705591,541,541,733.4,750,83,83,216.6,208
rate_prod_2x,spmc,consumer,1024,4,prod_2x,8,5,7947991.86844189,7981010.487076984,7870632.101916231,7997170.795552451,0.006499855212086086,499.91796875,499.91796875,536.78330078125,540.97509765625,481.25,500,541.75,541.75
rate_prod_2x,sync,producer,1024,4,prod_2x,8,5,14600.373963595479,14496.64362749427,14112.795307007886,15289.958738545927,0,67321.59458298841,66929.28125,100377.506640625,94832.92578125,,,,
rate_prod_2x,sync,consumer,1024,4,prod_2x,8,5,58401.737190076405,57987.030694040135,56451.26081017015,61160.03229792079,0.9904911294891662,50546.05,50552.25,264097.85,267916.5,468.75,468.75,2529,2531.25
rate_prod_4x,spmc,producer,1024,4,prod_4x,8,5,1979190.4377100219,1981378.1496711213,1965135.2598897489,1990520.8710449885,0.8074975881401374,541.2,541,725.2,709,83,83,208.4,208
rate_prod_4x,spmc,consumer,1024,4,prod_4x,8,5,7913363.722665702,7921940.868709135,7857411.912356393,7958797.862901047,0.010827989667060259,499.91806640625,499.91796875,589.7800470007197,563.0321625636673,500,500,541.65,541.75
rate_prod_4x,sync,producer,1024,4,prod_4x,8,5,14630.732413961858,14740.347392614785,13684.012611463822,15424.572583673349,0,67863.76953125,67140.625,85540.77109375,87562.580078125,,,,
rate_prod_4x,sync,consumer,1024,4,prod_4x,8,5,58524.12565441426,58961.748956621894,54736.83225778409,61701.91978172843,0.9905181313140414,49424.95,50208.5,270329.175,266864.5,468.7,468.75,2518.75,2500.25
rate_prod_8x,spmc,producer,1024,4,prod_8x,8,5,1984924.5594788403,1986530.354281686,1979458.2406557098,1989838.0402376805,0.8039740782654207,541,541,683.6,667,83,83,208.4,208
rate_prod_8x,spmc,consumer,1024,4,prod_8x,8,5,7936296.504055847,7942176.667984033,7913815.034757709,7956248.177678116,0.007946765301141976,499.91796875,499.91796875,560.8214895923962,563.06103515625,500,500,541.6,541.5
rate_prod_8x,sync,producer,1024,4,prod_8x,8,5,15389.308867546666,15370.335188220368,14230.627400752966,16135.492637177495,0,63650.911328125,62676.83984375,81561.97062881892,78420.8673740053,,,,
rate_prod_8x,sync,consumer,1024,4,prod_8x,8,5,61557.23915318147,61481.18353132645,56922.724355080114,64541.9999631696,0.9899418762281114,47731.25,47364.5,248245.95,249854.25,472.9,468.75,2556.25,2520.5
rate_prod_16x,spmc,producer,1024,4,prod_16x,8,5,1976688.868980833,1976270.736505804,1956703.6483952394,1992843.199112462,0.8015481958995838,541,541,700,708,83,83,200.2,167
rate_prod_16x,spmc,consumer,1024,4,prod_16x,8,5,7903272.992534531,7901189.1051748935,7824308.991664739,7967557.798025955,0.012076630812375875,499.91796875,499.91796875,587.9391276041666,594.2981770833333,500,500,541.75,542
rate_prod_16x,sync,producer,1024,4,prod_16x,8,5,14867.630701457796,14843.801688593603,14322.291918930207,15302.406984738544,0,66822.412109375,67847.65625,83643.86370389344,81828.369140625,,,,
rate_prod_16x,sync,consumer,1024,4,prod_16x,8,5,59470.67284461423,59375.07005072749,57288.94366446856,61209.749764367065,0.9903421297863787,49191.7,49396,259597.95,256791.5,468.7,468.75,2512.45,2500.25
rate_cons_2x,spmc,producer,1024,4,cons_2x,8,5,3934942.692618621,3936411.2079217713,3896572.965008564,3963208.4997107857,0.4757241805616942,291,291,458.2,458,116.8,125,208.4,208
rate_cons_2x,spmc,consumer,1024,4,cons_2x,8,5,15736499.2812397,15742083.568135668,15582648.470430823,15849888.3303957,0.01646738151427114,249.94326171875,249.93896484375,434.9144736842105,447.75,250,250,292,292
